# VSS hardware run — 2026-04-20T12:59:15
# mu=0.001  mu_omega=0.0  control_fs=800.0  log_hz=100.0
# cancel_dur=240.0s  actual_dur=240.01s  n_samples=24001
# F_init_hz=[8.499999966281907]  max_amp_per_tone=9.0mm  max_total_amp=60.0mm
# dir_invert=True  simulate=False
# NOTE: C_mm, S_mm, f_hz, A_mm are tone 1 only
t_s,e_m_s2,C_mm,S_mm,f_hz,A_mm
2.099189,-0.100499,0.048392,-0.113223,8.497102,0.123131
2.109189,-0.375673,0.049280,-0.113810,8.497102,0.124021
2.119189,-0.277567,0.052135,-0.114148,8.497102,0.125490
2.129189,-0.215354,0.054086,-0.113283,8.497102,0.125532
2.139189,0.102891,0.054948,-0.112186,8.497102,0.124920
2.149189,0.433101,0.054934,-0.113324,8.497102,0.125936
2.159189,0.038285,0.056187,-0.116095,8.497102,0.128977
2.169189,-0.220140,0.056197,-0.116173,8.497102,0.129052
2.179189,-0.327817,0.054353,-0.116109,8.497102,0.128201
2.189189,-0.327817,0.052061,-0.117319,8.497102,0.128351
2.199189,-0.301496,0.050812,-0.119350,8.497102,0.129716
2.209189,-0.045464,0.050806,-0.119709,8.497102,0.130044
2.219190,0.083749,0.050479,-0.119133,8.497102,0.129386
2.229189,-0.263210,0.052284,-0.120168,8.497102,0.131050
2.239189,-0.411565,0.055538,-0.120124,8.497102,0.132342
2.249189,-0.215354,0.056992,-0.119238,8.497102,0.132158
2.259190,-0.107677,0.057393,-0.118487,8.497102,0.131655
2.269190,0.287139,0.057493,-0.120755,8.497102,0.133743
2.279189,0.277567,0.058696,-0.122602,8.497102,0.135928
2.289189,-0.059821,0.058531,-0.122608,8.497102,0.135862
2.299188,-0.277567,0.056558,-0.122807,8.497102,0.135205
2.309191,-0.318245,0.054532,-0.124232,8.497102,0.135673
2.319189,-0.246461,0.053679,-0.126061,8.497102,0.137014
2.329189,0.057428,0.053593,-0.125911,8.497102,0.136842
2.339189,-0.026321,0.053684,-0.126001,8.497102,0.136961
2.349188,-0.368495,0.055805,-0.126743,8.497102,0.138485
2.359189,-0.349352,0.058580,-0.126368,8.497102,0.139286
2.369191,-0.200997,0.060089,-0.125246,8.497102,0.138915
2.379188,0.021535,0.060267,-0.125030,8.497102,0.138797
